t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
3.670512E1,,,,,,,,,,,,
3.673846E1,,,,,,,,,,,,
3.677180E1,,,,,,,,,,,,
3.680514E1,,,,,9.146325E-4,1.244011E-3,,,,,,
3.683847E1,,,,,5.436952E-4,1.761177E-3,,,,,,
3.687181E1,,,,,1.646030E-3,1.394449E-3,,,,,,
3.690515E1,,,,,2.938127E-3,1.471214E-3,,,,,,
3.693849E1,,,,,4.243017E-3,1.332629E-3,,,,,,
3.697183E1,,,,,6.624654E-3,1.258015E-3,,,,,,
3.700516E1,,,,,9.639545E-3,1.437132E-3,,,,,,
3.703850E1,,,,,1.352863E-2,1.452077E-3,,,,,,
3.707184E1,,,,,1.721516E-2,1.238878E-3,,,,,,
3.710518E1,,,,,2.282703E-2,1.356176E-3,,,,,,
3.713852E1,,,,,2.881843E-2,2.360459E-3,,,,,,
3.717185E1,,,,,3.427893E-2,1.388215E-3,,,,,,
3.720519E1,,,,,4.355175E-2,1.723013E-3,,,,,,
3.723853E1,,,,,4.940456E-2,1.422406E-3,,,,,,
3.727187E1,,,,,5.735970E-2,2.111137E-3,,,,,,
3.730521E1,,,,,6.626579E-2,1.343599E-3,,,,,,
3.733854E1,,,,,7.553860E-2,1.678397E-3,,,,,,
3.737188E1,,,,,8.529330E-2,1.177385E-3,,,,,,
3.740522E1,,,,,9.608635E-2,1.386392E-3,,,,,,
3.743856E1,,,,,1.081971E-1,1.241464E-3,,,,,,
3.747190E1,,,,,1.192311E-1,1.032566E-3,,,,,,
3.750523E1,,,,,1.321137E-1,2.446261E-3,,,,,,
3.753857E1,,,,,1.457958E-1,1.314146E-3,,,,,,
3.757191E1,,,,,1.592242E-1,8.152843E-4,,,,,,
3.760525E1,,,,,1.738296E-1,2.331332E-3,,,,,,
3.763859E1,,,,,1.892218E-1,1.516919E-3,,,,,,
3.767192E1,,,,,2.037397E-1,8.666785E-4,,,,,,
3.770526E1,,,,,2.183451E-1,2.382726E-3,,,,,,
3.773860E1,,,,,2.380315E-1,2.039545E-3,,,,,,
3.777194E1,,,,,2.546773E-1,1.947944E-3,,,,,,
3.780528E1,,,,,2.728435E-1,1.730553E-3,,,,,,
3.783861E1,,,,,2.909840E-1,1.943861E-3,,,,,,
3.787195E1,,,,,3.104678E-1,1.372536E-3,,,,,,
3.790529E1,,,,,3.314078E-1,1.752167E-3,,,,,,
3.793863E1,,,,,3.514993E-1,1.865272E-3,,,,,,
3.797197E1,,,,,3.726419E-1,2.473047E-3,,,,,,
3.800530E1,,,,,3.932025E-1,1.965693E-3,,,,,,
3.803864E1,,,,,4.168291E-1,7.760582E-4,,,,,,
3.807198E1,,,,,4.394791E-1,1.473392E-3,,,,,,
3.810532E1,,,,,4.625471E-1,2.411663E-3,,,,,,
3.813866E1,,,,,4.867558E-1,2.337157E-3,,,,,,
3.817199E1,,,,,5.109517E-1,2.478001E-3,,,,,,
3.820533E1,,,,,5.371625E-1,1.441896E-3,,,,,,
3.823867E1,,,,,5.627017E-1,7.981076E-4,,,,,,
3.827201E1,,,,,5.883282E-1,2.320607E-3,,,,,,
3.830535E1,,,,,6.134367E-1,1.651230E-3,,,,,,
3.833868E1,,,,,6.428010E-1,2.099133E-3,,,,,,
3.837202E1,,,,,6.668071E-1,1.796484E-3,,,,,,
3.840536E1,,,,,6.989326E-1,3.056758E-3,,,,,,
3.843870E1,,,,,7.266252E-1,2.540910E-3,,,,,,
