t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
2.336899E1,,,,,,,,,,,,
2.340233E1,,,,,,,,,,,,
2.343566E1,,,,,,,,,,,,
2.346900E1,,,,,,,,,,,,
2.350234E1,,,,,,,,,,,,
2.353567E1,,,,,,,,,,,,
2.356901E1,,,,,,,,,,,,
2.360235E1,,,,,,,,,,,,
2.363568E1,,,,,,,,,,,,
2.366902E1,,,,,,,,,,,,
2.370236E1,,,,,,,,,,,,
2.373569E1,,,,,,,,,,,,
2.376903E1,,,,,,,,,,,,
2.380236E1,,,,,,,,,,,,
2.383570E1,,,,,,,,,,,,
2.386904E1,,,,,,,,,,,,
2.390237E1,,,,,,,,,,,,
2.393571E1,,,,,,,,,,,,
2.396905E1,,,,,,,,,,,,
2.400238E1,,,,,,,,,,,,
2.403572E1,,,,,,,,,,,,
2.406906E1,,,,,,,,,,,,
2.410239E1,,,,,,,,,,,,
2.413573E1,,,,,,,,,,,,
2.416907E1,,,,,,,,,,,,
2.420240E1,,,,,,,,,,,,
2.423574E1,,,,,,,,,,,,
2.426908E1,,,,,,,,,,,,
2.430241E1,,,,,,,,,,,,
2.433575E1,,,,,,,,,,,,
2.436909E1,,,,,,,,,,,,
2.440242E1,,,,,,,,,,,,
2.443576E1,,,,,,,,,,,,
2.446910E1,,,,,,,,,,,,
2.450243E1,,,,,,,,,,,,
2.453577E1,,,,,,,,,,,,
2.456911E1,,,,,,,,,,,,
2.460244E1,,,,,,,,,,,,
2.463578E1,,,,,,,,,,,,
2.466912E1,,,,,,,,,,,,
2.470245E1,,,,,,,,,,,,
2.473579E1,,,,,,,,,,,,
2.476913E1,,,,,,,,,,,,
2.480246E1,,,,,,,,,,,,
2.483580E1,,,,,,,,,,,,
2.486914E1,,,,,,,,,,,,
2.490247E1,,,,,,,,,,,,
2.493581E1,,,,,,,,,,,,
2.496915E1,,,,,,,,,,,,
2.500248E1,,,,,,,,,,,,
2.503582E1,,,,,,,,,,,,
2.506916E1,,,,,,,,,,,,
2.510249E1,,,,,,,,,,,,
2.513583E1,,,,,,,,,,,,
2.516917E1,,,,,,,,,,,,
2.520250E1,,,,,,,,,,,,
2.523584E1,,,,,,,,,,,,
2.526918E1,,,,,,,,,,,,
2.530251E1,,,,,,,,,,,,
2.533585E1,,,,,,,,,,,,
2.536919E1,,,,,,,,,,,,
2.540252E1,,,,,,,,,,,,
2.543586E1,,,,,,,,,,,,
2.546920E1,,,,,,,,,,,,
2.550253E1,,,,,,,,,,,,
2.553587E1,,,,,,,,,,,,
2.556921E1,,,,,,,,,,,,
2.560254E1,,,,,,,,,,,,
2.563588E1,,,,,,,,,,,,
2.566922E1,,,,,,,,,,,,
2.570255E1,,,,,,,,,,,,
2.573589E1,,,,,,,,,,,,
2.576923E1,,,,,,,,,,,,
2.580256E1,,,,,,,,,,,,
2.583590E1,,,,,,,,,,,,
2.586924E1,,,,,,,,,,,,
2.590257E1,,,,,,,,,,,,
2.593591E1,,,,,,,,,,,,
2.596925E1,,,,,,,,,,,,
2.600258E1,,,,,,,,,,,,
2.603592E1,,,,,,,,,,,,
2.606926E1,,,,,,,,,,,,
2.610259E1,,,,,,,,,,,,
2.613593E1,,,,,,,,,,,,
2.616927E1,,,,,,,,,,,,
2.620260E1,,,,,,,,,,,,
2.623594E1,,,,,,,,,,,,
2.626928E1,,,,,,,,,,,,
2.630261E1,,,,,,,,,,,,
2.633595E1,,,,,,,,,,,,
2.636929E1,,,,,,,,,,,,
2.640262E1,,,,,,,,,,,,
2.643596E1,,,,,,,,,,,,
2.646930E1,,,,,,,,,,,,
2.650263E1,,,,,,,,,,,,
2.653597E1,,,,,,,,,,,,
2.656931E1,,,,,,,,,,,,
2.660264E1,,,,,,,,,,,,
2.663598E1,,,,,,,,,,,,
2.666932E1,,,,,,,,,,,,
2.670265E1,,,,,,,,,,,,
2.673599E1,,,,,,,,,,,,
2.676933E1,,,,,,,,,,,,
2.680266E1,,,,,,,,,,,,
2.683600E1,,,,,,,,,,,,
2.686934E1,,,,,,,,,,,,
2.690267E1,,,,,,,,,,,,
2.693601E1,,,,,,,,,,,,
2.696935E1,,,,,,,,,,,,
2.700268E1,,,,,,,,,,,,
2.703602E1,,,,,,,,,,,,
2.706936E1,,,,,6.830579E-4,1.193778E-3,,,,,,
2.710269E1,,,,,1.870202E-3,9.145720E-4,,,,,,
2.713603E1,,,,,1.870202E-3,9.145720E-4,,,,,,
2.716937E1,,,,,4.977664E-3,8.101286E-4,,,,,,
2.720270E1,,,,,7.282046E-3,1.019844E-3,,,,,,
2.723604E1,,,,,1.227488E-2,1.474227E-3,,,,,,
2.726938E1,,,,,1.456930E-2,2.805825E-4,,,,,,
2.730271E1,,,,,2.037577E-2,8.090126E-4,,,,,,
2.733605E1,,,,,2.752403E-2,-4.084971E-6,,,,,,
2.736939E1,,,,,3.476010E-2,8.983888E-4,,,,,,
2.740272E1,,,,,4.525143E-2,8.774145E-4,,,,,,
2.743606E1,,,,,5.352129E-2,1.142151E-3,,,,,,
2.746940E1,,,,,6.447448E-2,1.407149E-3,,,,,,
2.750273E1,,,,,7.617549E-2,1.496264E-3,,,,,,
2.753607E1,,,,,8.858029E-2,1.893370E-3,,,,,,
2.756941E1,,,,,1.013371E-1,1.102812E-3,,,,,,
2.760274E1,,,,,1.158973E-1,1.940015E-3,,,,,,
2.763608E1,,,,,1.300617E-1,1.765437E-3,,,,,,
